Line,Context,English,Chinese
2,001:SC#0001,GAME PAUSED. Press SPACEBAR to continue.,遊戲暫停。請按空白鍵繼續。
3,001:SC#0001,Insert disk %c and press ENTER to continue.,請插入磁片 %c 並按 ENTER 繼續。
4,001:SC#0001,"Unable to find %02d.LFL, (%c%d). Press ENTER.",找不到 %02d.LFL，(%c%d)。請按 ENTER。
5,001:SC#0001,"ERROR: Insert disk %c, (%c%d). Press ENTER.",錯誤：請插入磁片 %c，(%c%d)。請按 ENTER。
6,001:SC#0001,Are you sure you want to restart? (Y or N)Y,確定要重新開始嗎？(Y 或 N)Y
7,001:SC#0001,Are you sure you want to quit? (Y or N)Y,確定要離開嗎？(Y 或 N)Y
8,001:SC#0001,Save,儲存
9,001:SC#0001,Load,載入
10,001:SC#0001,Play,遊玩
11,001:SC#0001,Cancel,取消
12,001:SC#0001,Quit,離開
13,001:SC#0001,OK,好
15,001:SC#0001,Insert save/load game disk,
16,001:SC#0001,You must enter a name,
17,001:SC#0001,The game was NOT saved,
18,001:SC#0001,The game was NOT loaded,
19,001:SC#0001,Saving '%s',
20,001:SC#0001,Loading '%s',
21,001:SC#0001,Name your SAVE game,
22,001:SC#0001,Select a game to LOAD,
23,001:SC#0001,You must have the LOOM Talkie CD to play this game.,
24,001:SC#0005,interrupting the workers...,
25,001:SC#0005,interrupting the workers...,
26,001:SC#0005,NOT interrupting the workers...,
27,001:SC#0005,Text WILL appear on the screen.,
28,001:SC#0005,Text WILL NOT appear on the screen.,
29,001:SC#0005,(Function disabled.),
30,001:SC#0005,(Normal speed. Full animation.),
31,001:SC#0005,(Fast speed. Limited animation.),
32,001:SC#0005,LOOM\015 CD version (\255\004\041\000) (1.0)\255\00110 Feburary 1992,
33,001:SC#0007,\255\006\000\064,
34,001:SC#0008,\255\006\000\064,
35,001:SC#0011,That thread's too high for me.,
36,001:SC#0012,Maybe I should stand a bit closer.,
37,001:SC#0013,It might help to point at something first ^,
38,001:SC#0018,\016,
39,001:SC#0018,\017,
40,001:SC#0018,\018,
41,001:SC#0018,\019,
42,001:SC#0018,\020,
43,001:SC#0018,\021,
44,001:SC#0018,\022,
45,001:SC#0018,\023,
46,001:SC#0020,It's too noisy to spin any drafts in here!,
47,001:SC#0022,It's too noisy to spin any drafts in here!,
48,001:SC#0022,I need to choose my drafts more carefully.,
49,001:SC#0022,Hmm. I guess that isn't a draft.,
50,001:SC#0026,I don't think I spun that right.,
51,001:SC#0026,That must not be the right draft.,
52,001:SC#0027,\016,
53,001:SC#0027,\017,
54,001:SC#0027,\018,
55,001:SC#0027,\019,
56,001:SC#0027,\020,
57,001:SC#0027,\021,
58,001:SC#0027,\022,
59,001:SC#0027,\023,
60,001:SC#0027,\016,
61,001:SC#0027,\017,
62,001:SC#0027,\018,
63,001:SC#0027,\019,
64,001:SC#0027,\020,
65,001:SC#0027,\021,
66,001:SC#0027,\022,
67,001:SC#0027,\023,
68,001:SC#0031, ,
69,001:SC#0035,I don't think I spun that right.,
70,001:SC#0036,\016,
71,001:SC#0036,\017,
72,001:SC#0036,\018,
73,001:SC#0036,\019,
74,001:SC#0036,\020,
75,001:SC#0036,\021,
76,001:SC#0036,\022,
77,001:SC#0036,\023,
78,001:SC#0043,Heed the First Rule of Membership:\255\001You cannot save a demonstration game.,
79,001:SC#0119,It didn't work.,
80,001:SC#0119,That must not be the right draft.,
81,001:SC#0119,That didn't help at all.,
82,001:SC#0119,"No, No, that's not right.",
83,001:SC#0119,"Well, that draft didn't seem to do much good.",
84,001:SC#0119,"Well, that didn't work.",
85,001:SC#0119,I guess that draft isn't going to help me here.,
86,001:SC#0119,I need to choose my drafts more carefully.,
87,001:SC#0121,assigning-drafts,
88,001:SC#0125,\009Passcode being stripped is \255\004\000\064,
89,002:ON#0079,leaf,
90,002:OC#0079,The last leaf of autumn.,
91,002:ON#0081,sky,
92,002:OC#0081,It's dawn.,
93,002:OC#0081,It seems to have closed by itself.,
94,002:OC#0081,I'd have to open it first.,
95,002:OC#0081,There's enough light coming out of it already!,
96,002:OC#0081,"It didn't work. Oh, well, dawn's coming anyway.",
97,002:LS#0203,The End,
98,002:LS#0205,\255\001Illustrated by Mark Ferrari,
99,002:LS#0206,Characters Designed and Animated by\255\001Gary Winnick and Steve Purcell,
100,002:LS#0207,"Visual Effects Animation by\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001and Mark Ferrari",
101,002:LS#0208,Music of Tchaikovsky\255\001Transcribed by George Alistair Sanger\255\001and Gary Hammond,
102,002:LS#0209,AdLib]^ Soundtrack by\255\001Eric Hammond,
103,002:LS#0209,CMS Soundtrack by\255\001Eric Hammond,
104,002:LS#0209,Roland Stereo Soundtrack by\255\001George Alistair Sanger and David Warhol,
105,002:LS#0209,PC/Tandy Soundtrack by\255\001Dave Hayes and David Warhol,
106,002:LS#0210,Additional Programming by\255\001Kalani Streicher,
107,002:LS#0211,SCUMM Story System by\255\001Ron Gilbert and Aric Wilmunder,
108,002:LS#0212,\255\001PC/Tandy Edition by Aric Wilmunder,
109,002:LS#0213,Lead Tester\255\001Kirk Roulston,
110,002:LS#0214,"Testers\255\001Bret Barrett, Terry Bratcher, Tom Canham,\255\001Eric Christensen, Carla Green, Jon Gubman,\255\001Tony Hsieh, Tim Huber, Eric Liu",
111,002:LS#0215,"Testers\255\001Maniac Maxo, Ezra Palmer-Persen,\255\001Alice Rosen, Jenny Sward, Aileen Treadwell\255\001and Judith Lucero Turchin",
112,002:LS#0216,\255\001Produced by Gregory D. Hammond,
113,002:LS#0217,"Thanks to Noah Falstein, David Fox,\255\001Akila J. Redmer, James Wood, Andrea Siegel\255\001and Orson Scott Card",
114,002:LS#0218,\255\001Special Thanks to George Lucas,
115,002:LS#0219,\255\001A Lucasfilm Games\015 Production,
116,002:LS#0220,"Created and Produced at Skywalker Ranch\255\001Marin County, California",
117,002:LS#0221,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,
118,002:LS#0223,\255\001Illustrated by Mark Ferrari,
119,002:LS#0223,Characters Designed and Animated by\255\001Gary Winnick and Steve Purcell,
120,002:LS#0223,"Visual Effects Animation by\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001and Mark Ferrari",
121,002:LS#0223,Music of Tchaikovsky\255\001Transcribed by George Alistair Sanger\255\001and Gary Hammond,
122,002:LS#0223,Lead Tester\255\001Kirk Roulston,
123,002:LS#0223,"Testers\255\001Bret Barrett, Terry Bratcher, Tom Canham,\255\001Eric Christensen, Carla Green, Jon Gubman,\255\001Tony Hsieh, Tim Huber, Eric Liu",
124,002:LS#0223,"Testers\255\001Maniac Maxo, Ezra Palmer-Persen,\255\001Alice Rosen, Jenny Sward, Aileen Treadwell\255\001and Judith Lucero Turchin",
125,002:LS#0223,\255\001Produced by Gregory D. Hammond,
126,002:LS#0223,Narrator -- Kenna Hunt\255\001\255\001GUILD OF WEAVERS\255\001The Nymph -- Lauren Jones\255\001Bobbin Threadbare -- Richard Seyd\255\001Elder Atropos -- David Case\255\001Elder Clothos -- Kenna Hunt\255\001Elder Lachesis -- Donada Peters\255\001Hetchel -- Pat Franklyn,
127,002:LS#0223,"GUILD OF SHEPHERDS\255\001The Shepherds -- Robert Emmet, David Case\255\001Pat Franklyn, Tom Whitworth\255\001Fleece -- Lauren Jones\255\001\255\001GUILD OF GLASSMAKERS\255\001Master Goodmold -- James Carpenter\255\001Stopper -- James Carpenter\255\001Flute -- Tom Whitworth",
128,002:LS#0223,The Dragon -- Donada Peters\255\001\255\001GUILD OF BLACKSMITHS\255\001Rusty -- Tom Whitworth\255\001Forge Guard -- James Carpenter\255\001Stoke -- Tom Whitworth\255\001Master Edgewise -- Robert Emmet\255\001Foreman -- Tom Whitworth,
129,002:LS#0223,GUILD OF CLERICS\255\001Bishop Mandible -- David Case\255\001Cob -- Tom Whitworth\255\001\255\001Chaos -- Lauren Jones\255\001\255\001Lady Cygna -- Lauren Jones,
130,002:LS#0223,Directed By\255\001John Reiger\255\001\255\001\255\001Directors Assistant\255\001Susan Murphy Reiger,
131,002:LS#0223,Recorded By\255\001Andy Murdoch of earwax productions\255\001\255\001Music Adapted and Mixed By\255\001Andy Newell of earwax productions,
132,002:LS#0223,"Recorded, Edited and Mixed At\255\001earwax productions, San Francisco, California\255\001\255\001Special Voice Effects and Editing By\255\001our two favorite andys",
133,002:LS#0223,"Script Adapted By\255\001Sara Reeder\255\001and\255\001Orson Scott Card\255\001\255\001\255\001Additional Dialog and Editing By\255\001Jennifer Sward, Shelley Day and John Reiger",
134,002:LS#0223,"Additional Animations By\255\001Anson Jew and Mike McGlaughlin\255\001\255\001\255\001Additional Backgrounds By\255\001Avril Harrison, Armand Cabrera,\255\001Anson Jew, and Mike McGlaughlin",
135,002:LS#0223,"Lead Playtester -- Dave Popovich\255\001\255\001Playtest Team\255\001Chip Hinnenberg, Jo Ashburn,\255\001James Hampton, Justin Graham\255\001Howard Harrison, Patrick Sirk\255\001Ron Lussier, 'Preacher', Wayne Cline\255\001and Tabitha 'George' Tosti",
136,002:LS#0223,Packaging and Marketing Coordination By\255\001Mary Bihr\255\001and Cynthia Wuthman,
137,002:LS#0223,Scripted By\255\001Jennifer Sward\255\001\255\001CD SCUMM System By\255\001Aric Wilmunder,
