Line,Context,English,Chinese
2,001:SC#0001,GAME PAUSED. Press SPACEBAR to continue.,遊戲暫停。請按空白鍵繼續。
3,001:SC#0001,Insert disk %c and press ENTER to continue.,請插入磁片 %c 並按 ENTER 繼續。
4,001:SC#0001,"Unable to find %02d.LFL, (%c%d). Press ENTER.",找不到 %02d.LFL，(%c%d)。請按 ENTER。
5,001:SC#0001,"ERROR: Insert disk %c, (%c%d). Press ENTER.",錯誤：請插入磁片 %c，(%c%d)。請按 ENTER。
6,001:SC#0001,Are you sure you want to restart? (Y or N)Y,確定要重新開始嗎？(Y 或 N)Y
7,001:SC#0001,Are you sure you want to quit? (Y or N)Y,確定要離開嗎？(Y 或 N)Y
8,001:SC#0001,Save,儲存
9,001:SC#0001,Load,載入
10,001:SC#0001,Play,遊玩
11,001:SC#0001,Cancel,取消
12,001:SC#0001,Quit,離開
13,001:SC#0001,OK,好
15,001:SC#0001,Insert save/load game disk,請插入存檔/讀檔磁片
16,001:SC#0001,You must enter a name,您必須輸入名稱
17,001:SC#0001,The game was NOT saved,遊戲未儲存
18,001:SC#0001,The game was NOT loaded,遊戲未載入
19,001:SC#0001,Saving '%s',儲存 '%s'
20,001:SC#0001,Loading '%s',載入 '%s'
21,001:SC#0001,Name your SAVE game,命名您的存檔
22,001:SC#0001,Select a game to LOAD,選擇要載入的遊戲
23,001:SC#0001,You must have the LOOM Talkie CD to play this game.,必須有LOOM語音CD才能玩
24,001:SC#0005,interrupting the workers...,打斷工人...
25,001:SC#0005,interrupting the workers...,打斷工人...
26,001:SC#0005,NOT interrupting the workers...,不打斷工人...
27,001:SC#0005,Text WILL appear on the screen.,文字將顯示在螢幕上。
28,001:SC#0005,Text WILL NOT appear on the screen.,文字將不顯示在螢幕上。
29,001:SC#0005,(Function disabled.),(功能已停用)
30,001:SC#0005,(Normal speed. Full animation.),(正常速度。完整動畫)
31,001:SC#0005,(Fast speed. Limited animation.),(快轉。部分動畫)
32,001:SC#0005,LOOM\015 CD version (\255\004\041\000) (1.0)\255\00110 Feburary 1992,LOOM\015 CD版 (\255\004\041\000) (1.0)\255\0011992年2月10日
33,001:SC#0007,\255\006\000\064,\255\006\000\064
34,001:SC#0008,\255\006\000\064,\255\006\000\064
35,001:SC#0011,That thread's too high for me.,那條線太高了。
36,001:SC#0012,Maybe I should stand a bit closer.,也許該站近點。
37,001:SC#0013,It might help to point at something first ^,先指向某個東西可能會有幫助 ^
38,001:SC#0018,\016,\016
39,001:SC#0018,\017,\017
40,001:SC#0018,\018,\018
41,001:SC#0018,\019,\019
42,001:SC#0018,\020,\020
43,001:SC#0018,\021,\021
44,001:SC#0018,\022,\022
45,001:SC#0018,\023,\023
46,001:SC#0020,It's too noisy to spin any drafts in here!,這裡太吵無法編織任何織法！
47,001:SC#0022,It's too noisy to spin any drafts in here!,這裡太吵無法編織任何織法！
48,001:SC#0022,I need to choose my drafts more carefully.,我必須更謹慎選擇織法。
49,001:SC#0022,Hmm. I guess that isn't a draft.,我想那不是織法。
50,001:SC#0026,I don't think I spun that right.,我覺得我編織得不對。
51,001:SC#0026,That must not be the right draft.,那肯定不是正確的織法。
52,001:SC#0027,\016,\016
53,001:SC#0027,\017,\017
54,001:SC#0027,\018,\018
55,001:SC#0027,\019,\019
56,001:SC#0027,\020,\020
57,001:SC#0027,\021,\021
58,001:SC#0027,\022,\022
59,001:SC#0027,\023,\023
60,001:SC#0027,\016,\016
61,001:SC#0027,\017,\017
62,001:SC#0027,\018,\018
63,001:SC#0027,\019,\019
64,001:SC#0027,\020,\020
65,001:SC#0027,\021,\021
66,001:SC#0027,\022,\022
67,001:SC#0027,\023,\023
68,001:SC#0031, , 
69,001:SC#0035,I don't think I spun that right.,我覺得我編織得不對。
70,001:SC#0036,\016,\016
71,001:SC#0036,\017,\017
72,001:SC#0036,\018,\018
73,001:SC#0036,\019,\019
74,001:SC#0036,\020,\020
75,001:SC#0036,\021,\021
76,001:SC#0036,\022,\022
77,001:SC#0036,\023,\023
78,001:SC#0043,Heed the First Rule of Membership:\255\001You cannot save a demonstration game.,注意會員第一規則：\255\001無法儲存展示遊戲。
79,001:SC#0119,It didn't work.,沒用。
80,001:SC#0119,That must not be the right draft.,那肯定不是正確的織法。
81,001:SC#0119,That didn't help at all.,那一點幫助也沒有。
82,001:SC#0119,"No, No, that's not right.",不，那不對。
83,001:SC#0119,"Well, that draft didn't seem to do much good.",那個織法似乎沒什麼用。
84,001:SC#0119,"Well, that didn't work.",嗯，沒用。
85,001:SC#0119,I guess that draft isn't going to help me here.,我想織法在這裡幫不上忙。
86,001:SC#0119,I need to choose my drafts more carefully.,我必須更謹慎選擇織法。
87,001:SC#0121,assigning-drafts,分配織法
88,001:SC#0125,\009Passcode being stripped is \255\004\000\064,\009移除的密碼是 \255\004\000\064
89,002:ON#0079,leaf,葉子
90,002:OC#0079,The last leaf of autumn.,秋天的最後一片葉子。
91,002:ON#0081,sky,天
92,002:OC#0081,It's dawn.,破曉了。
93,002:OC#0081,It seems to have closed by itself.,它似乎自己關閉了。
94,002:OC#0081,I'd have to open it first.,我得先打開它。
95,002:OC#0081,There's enough light coming out of it already!,已經有足夠的光線透出來了！
96,002:OC#0081,"It didn't work. Oh, well, dawn's coming anyway.",沒用。算了，反正黎明要來了。
97,002:LS#0203,The End,劇終
98,002:LS#0205,\255\001Illustrated by Mark Ferrari,\255\001插畫 Mark Ferrari
99,002:LS#0206,Characters Designed and Animated by\255\001Gary Winnick and Steve Purcell,角色設計與動畫\255\001Gary Winnick 和 Steve Purcell
100,002:LS#0207,"Visual Effects Animation by\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001and Mark Ferrari","視覺特效動畫\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001和 Mark Ferrari"
101,002:LS#0208,Music of Tchaikovsky\255\001Transcribed by George Alistair Sanger\255\001and Gary Hammond,柴可夫斯基音樂\255\001改編 George Alistair Sanger\255\001和 Gary Hammond
102,002:LS#0209,AdLib]^ Soundtrack by\255\001Eric Hammond,AdLib]^ 原聲帶\255\001Eric Hammond
103,002:LS#0209,CMS Soundtrack by\255\001Eric Hammond,CMS 原聲帶\255\001Eric Hammond
104,002:LS#0209,Roland Stereo Soundtrack by\255\001George Alistair Sanger and David Warhol,Roland立體聲原聲帶\255\001George Alistair Sanger 和 David Warhol
105,002:LS#0209,PC/Tandy Soundtrack by\255\001Dave Hayes and David Warhol,PC/Tandy 原聲帶\255\001Dave Hayes 和 David Warhol
106,002:LS#0210,Additional Programming by\255\001Kalani Streicher,額外程式設計\255\001Kalani Streicher
107,002:LS#0211,SCUMM Story System by\255\001Ron Gilbert and Aric Wilmunder,SCUMM 故事系統\255\001Ron Gilbert 和 Aric Wilmunder
108,002:LS#0212,\255\001PC/Tandy Edition by Aric Wilmunder,\255\001PC/Tandy 版 Aric Wilmunder
109,002:LS#0213,Lead Tester\255\001Kirk Roulston,首席測試\255\001Kirk Roulston
110,002:LS#0214,"Testers\255\001Bret Barrett, Terry Bratcher, Tom Canham,\255\001Eric Christensen, Carla Green, Jon Gubman,\255\001Tony Hsieh, Tim Huber, Eric Liu","測試員\255\001Bret, Terry, Tom,\255\001Eric, Carla, Jon,\255\001Tony, Tim, Eric"
111,002:LS#0215,"Testers\255\001Maniac Maxo, Ezra Palmer-Persen,\255\001Alice Rosen, Jenny Sward, Aileen Treadwell\255\001and Judith Lucero Turchin","測試員\255\001Maniac, Ezra,\255\001Alice, Jenny, Aileen\255\001和 Judith"
112,002:LS#0216,\255\001Produced by Gregory D. Hammond,\255\001製作 Gregory D. Hammond
113,002:LS#0217,"Thanks to Noah Falstein, David Fox,\255\001Akila J. Redmer, James Wood, Andrea Siegel\255\001and Orson Scott Card","感謝 Noah, David,\255\001Akila, James, Andrea\255\001和 Orson"
114,002:LS#0218,\255\001Special Thanks to George Lucas,\255\001特別感謝 George Lucas
115,002:LS#0219,\255\001A Lucasfilm Games\015 Production,\255\001Lucasfilm Games\015 製作
116,002:LS#0220,"Created and Produced at Skywalker Ranch\255\001Marin County, California",於天行者山莊創作與製作\255\001加州馬林郡
117,002:LS#0221,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。
118,002:LS#0223,\255\001Illustrated by Mark Ferrari,\255\001插畫 Mark Ferrari
119,002:LS#0223,Characters Designed and Animated by\255\001Gary Winnick and Steve Purcell,角色設計與動畫\255\001Gary Winnick 和 Steve Purcell
120,002:LS#0223,"Visual Effects Animation by\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001and Mark Ferrari","視覺特效動畫\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001和 Mark Ferrari"
121,002:LS#0223,Music of Tchaikovsky\255\001Transcribed by George Alistair Sanger\255\001and Gary Hammond,柴可夫斯基音樂\255\001改編 George Alistair Sanger\255\001和 Gary Hammond
122,002:LS#0223,Lead Tester\255\001Kirk Roulston,首席測試\255\001Kirk Roulston
123,002:LS#0223,"Testers\255\001Bret Barrett, Terry Bratcher, Tom Canham,\255\001Eric Christensen, Carla Green, Jon Gubman,\255\001Tony Hsieh, Tim Huber, Eric Liu","測試員\255\001Bret, Terry, Tom,\255\001Eric, Carla, Jon,\255\001Tony, Tim, Eric"
