Line,Context,English,Chinese,Actor
3,001:SC#0001,Game paused. Press SPACEBAR to continue.,遊戲暫停。請按空白鍵繼續。,
4,001:SC#0001,Insert disk %c and press ENTER to continue.,請插入磁片 %c 並按 ENTER 繼續。,
5,001:SC#0001,"Unable to find %02d.LFL, (%c%d). Press ENTER.",找不到 %02d.LFL，(%c%d)。請按 ENTER。,
6,001:SC#0001,"ERROR: Insert disk %c, (%c%d). Press ENTER.",錯誤：請插入磁片 %c，(%c%d)。請按 ENTER。,
7,001:SC#0001,Are you sure you want to restart? (Y or N)Y,確定要重新開始嗎？(Y 或 N)Y,
8,001:SC#0001,Are you sure you want to quit? (Y or N)Y,確定要離開嗎？(Y 或 N)Y,
9,001:SC#0004,(Music off. Sound effects on.),（音樂關上了。音效開啟。）,
10,001:SC#0004,(Music and sound effects off.),（音樂和音效關上了。）,
11,001:SC#0004,(Music and sound effects on.),（音樂和音效開啟。）,
12,001:SC#0004,(Text speed \255\004\165\000.),（文字速度\255\004\165\000.),
13,001:SC#0004,(Normal speed. Full animation.),(正常速度。完整動畫),
14,001:SC#0004,(Fast speed. Limited animation.),(快轉。部分動畫),
15,001:SC#0004,LOOM]^ 1.00 (\255\004\041\000) 14 Mar 91 ,織機]^ 1.00\255\004\041\000) 91 年 3 月,
16,001:SC#0006,\255\006\000\064,\255\006\000\064,
17,001:SC#0007,\255\006\000\064,\255\006\000\064,
18,001:SC#0010,That thread is too high for me!\255\001Guess I need more experience.,那個線程對我來說太高了！\255\001我想我需要更多的經驗。,
19,001:SC#0011,Maybe I ought to stand a bit closer.,也許我應該站近一點。,
20,001:SC#0012,I suppose I ought to point\255\001at something first.,我想我應該指出\255\001首先在某件事上。,
21,001:SC#0017,\016,\016,
22,001:SC#0017,_,_,
23,001:SC#0017,`,`,
24,001:SC#0017,\017,\017,
25,001:SC#0017,_,_,
26,001:SC#0017,`,`,
27,001:SC#0017,\018,\018,
28,001:SC#0017,_,_,
29,001:SC#0017,`,`,
30,001:SC#0017,\019,\019,
31,001:SC#0017,_,_,
32,001:SC#0017,`,`,
33,001:SC#0017,\020,\020,
34,001:SC#0017,_,_,
35,001:SC#0017,`,`,
36,001:SC#0017,\021,\021,
37,001:SC#0017,_,_,
38,001:SC#0017,`,`,
39,001:SC#0017,\022,\022,
40,001:SC#0017,_,_,
41,001:SC#0017,`,`,
42,001:SC#0017,\023,\023,
43,001:SC#0017,<,<,
44,001:SC#0017,=,=,
45,001:SC#0021,Can't spin any drafts in here.\255\001Too much noise!,這裡任何織法都沒用…\255\001實在太吵了！,
46,001:SC#0021,Hmm. I guess that isn't a draft.,我想那不是織法。,
47,001:SC#0025,I don't think I spun that quite right.,我認為我的說法不太正確。,
48,001:SC#0025,That didn't do anything useful.,那沒有做任何有用的事情。,
49,001:SC#0026,\016,\016,
50,001:SC#0026,\017,\017,
51,001:SC#0026,\018,\018,
52,001:SC#0026,\019,\019,
53,001:SC#0026,\020,\020,
54,001:SC#0026,\021,\021,
55,001:SC#0026,\022,\022,
56,001:SC#0026,\023,\023,
57,001:SC#0026,\016,\016,
58,001:SC#0026,\017,\017,
59,001:SC#0026,\018,\018,
60,001:SC#0026,\019,\019,
61,001:SC#0026,\020,\020,
62,001:SC#0026,\021,\021,
63,001:SC#0026,\022,\022,
64,001:SC#0026,\023,\023,
65,001:SC#0034,Those threads didn't feel quite right.,這些線索感覺不太對勁。,
66,001:SC#0034,"Think I'm on the right track, though.",不過，我認為我走在是喔。道路上。,
67,001:SC#0035,\016,\016,
68,001:SC#0035,\017,\017,
69,001:SC#0035,\018,\018,
70,001:SC#0035,\019,\019,
71,001:SC#0035,\020,\020,
72,001:SC#0035,\021,\021,
73,001:SC#0035,\022,\022,
74,001:SC#0035,\023,\023,
75,001:SC#0043,Can't save your game in demo mode. Sorry.,無法在演示模式下儲存遊戲。抱歉,
76,001:SC#0117,The Secret Weave is incorrect.,秘密織法錯誤。,
77,001:SC#0117,Entering demonstration mode.,進入展示模式。,
78,001:SC#0117,Welcome to the Age of the Great Guilds.,歡迎來到偉大公會時代。,
79,002:ON#0154,leaf,葉子,
80,002:OC#0154,Last leaf of the year.,今年最後一片葉子。,Bobbin
81,002:OC#0154,That draft won't work on a leaf.,這個織法在葉子上不起作用。,Bobbin
82,002:ON#0156,sky,天,
83,002:OC#0156,Dawn.,黎明,
84,002:OC#0156,Seems to have closed itself.,好像自己封閉了。,
85,002:OC#0156,I'd have to open it first.,我得先打開它。,
86,002:OC#0156,Got enough light out of it already!,已經有足夠的光線了！,
87,002:OC#0156,"Didn't work. Oh, well.\255\001Dawn's coming anyway.",沒用…嗯…好吧\255\001無論如何，黎明都會到來。,
88,002:OC#0156,That draft won't work on the sky.,這個織法在天空上不起作用。,
89,002:EN#0002,The End,劇終,
90,002:LS#0203,The End,劇終,
91,002:LS#0205,"A Fantasy by Brian Moriarty\255\001\255\001Illustrated by Mark Ferrari.\255\001256 color artwork by\255\001Avril Harrison, James Dollar\255\001Steve Purcell, and Mike Ebert","A Fantasy by Brian Moriarty\255\001\255\001Illustrated by Mark Ferrari.\255\001256 color artwork by\255\001Avril Harrison, James Dollar\255\001Steve Purcell, and Mike Ebert",
92,002:LS#0206,Characters Designed and Animated by\255\001Gary Winnick and Steve Purcell,Characters Designed and Animated by\255\001Gary Winnick and Steve Purcell,
93,002:LS#0207,"Visual Effects Animation by\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001and Mark Ferrari\255\001256 color enhancements by Brent Anderson","Visual Effects Animation by\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001and Mark Ferrari\255\001256 color enhancements by Brent Anderson",
94,002:LS#0208,Music of Tchaikovsky\255\001Transcribed by George Alistair Sanger\255\001and Gary Hammond,Music of Tchaikovsky\255\001Transcribed by George Alistair Sanger\255\001and Gary Hammond,
95,002:LS#0209,"FUJITSU TOWNS CONVERSION\255\001\255\001CD Music by\255\001Earwax Productions, San Francisco\255\001\255\001Sound Effects by\255\001Earwax Productions and Jim Leiterman","FUJITSU TOWNS CONVERSION\255\001\255\001CD Music by\255\001Earwax Productions, San Francisco\255\001\255\001Sound Effects by\255\001Earwax Productions and Jim Leiterman",
96,002:LS#0210,Additional Programming by\255\001Kalani Streicher,Additional Programming by\255\001Kalani Streicher,
97,002:LS#0211,SCUMM Story System by\255\001Ron Gilbert and Aric Wilmunder,SCUMM Story System by\255\001Ron Gilbert and Aric Wilmunder,
