Context,"Chinese"
001:SC#0001,"遊戲暫停。請按空白鍵繼續。"
001:SC#0001,"請插入磁片 %c 並按 ENTER 繼續。"
001:SC#0001,"找不到 %02d.LFL，(%c%d)。請按 ENTER。"
001:SC#0001,"錯誤：請插入磁片 %c，(%c%d)。請按 ENTER。"
001:SC#0001,"確定要重新開始嗎？(Y 或 N)Y"
001:SC#0001,"確定要離開嗎？(Y 或 N)Y"
001:SC#0001,"儲存"
001:SC#0001,"載入"
001:SC#0001,"遊玩"
001:SC#0001,"取消"
001:SC#0001,"離開"
001:SC#0001,"好"
001:SC#0001,"請插入存檔/讀檔磁片"
001:SC#0001,"您必須輸入名稱"
001:SC#0001,"遊戲未儲存"
001:SC#0001,"遊戲未載入"
001:SC#0001,"儲存 '%s'"
001:SC#0001,"載入 '%s'"
001:SC#0001,"命名您的存檔"
001:SC#0001,"選擇要載入的遊戲"
001:SC#0001,"必須有LOOM語音CD才能玩"
001:SC#0005,"打斷工人..."
001:SC#0005,"打斷工人..."
001:SC#0005,"不打斷工人..."
001:SC#0005,"文字將顯示在螢幕上。"
001:SC#0005,"文字將不顯示在螢幕上。"
001:SC#0005,"(功能已停用)"
001:SC#0005,"(正常速度。完整動畫)"
001:SC#0005,"(快轉。部分動畫)"
001:SC#0005,"LOOM\015 CD版 (\255\004\041\000) (1.0)\255\0011992年2月10日"
001:SC#0007,"\255\006\000\064"
001:SC#0008,"\255\006\000\064"
001:SC#0011,"那條線太高了。"
001:SC#0012,"也許該站近點。"
001:SC#0013,"先指向某個東西可能會有幫助 ^"
001:SC#0018,"\016"
001:SC#0018,"\017"
001:SC#0018,"\018"
001:SC#0018,"\019"
001:SC#0018,"\020"
001:SC#0018,"\021"
001:SC#0018,"\022"
001:SC#0018,"\023"
001:SC#0020,"這裡太吵無法編織任何織法！"
001:SC#0022,"這裡太吵無法編織任何織法！"
001:SC#0022,"我必須更謹慎選擇織法。"
001:SC#0022,"我想那不是織法。"
001:SC#0026,"我覺得我編織得不對。"
001:SC#0026,"那肯定不是正確的織法。"
001:SC#0027,"\016"
001:SC#0027,"\017"
001:SC#0027,"\018"
001:SC#0027,"\019"
001:SC#0027,"\020"
001:SC#0027,"\021"
001:SC#0027,"\022"
001:SC#0027,"\023"
001:SC#0027,"\016"
001:SC#0027,"\017"
001:SC#0027,"\018"
001:SC#0027,"\019"
001:SC#0027,"\020"
001:SC#0027,"\021"
001:SC#0027,"\022"
001:SC#0027,"\023"
001:SC#0035,"我覺得我編織得不對。"
001:SC#0036,"\016"
001:SC#0036,"\017"
001:SC#0036,"\018"
001:SC#0036,"\019"
001:SC#0036,"\020"
001:SC#0036,"\021"
001:SC#0036,"\022"
001:SC#0036,"\023"
001:SC#0043,"注意會員第一規則：\255\001無法儲存展示遊戲。"
001:SC#0119,"沒用。"
001:SC#0119,"那肯定不是正確的織法。"
001:SC#0119,"那一點幫助也沒有。"
001:SC#0119,"不，那不對。"
001:SC#0119,"那個織法似乎沒什麼用。"
001:SC#0119,"嗯，沒用。"
001:SC#0119,"我想織法在這裡幫不上忙。"
